"StartDate","EndDate","Duration (in seconds)","S_Participant_ID","S_Consent","S_Age","S_EN_Level","S_EN_Exposure","S_L1","S_L2s","S_Regional_Background","OB_Messe","OB_Teil","OB_Fach","OB_Kind","OB_Floß","OB_Klöster","OB_Bett","Q_Task","Q_List","Q_ID","Q_Response","Q_Gender","Q_Lemma","Q_Lemma_HasRhymes","Q_PL_Form","Q_PL_Label","Q_PL_HasUmlaut","Q_PL_Suffix","Q_PL_Form_Src"
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q1","Bräle","der","bral","rhymes","bräle","umlaut_e",TRUE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q2","Kachen","die","kach","rhymes","kachen","en",FALSE,"en",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q3","Klöter","das","klot","rhymes","klöter","umlaut_er",TRUE,"er",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q4","Muren","der","mur","rhymes","muren","en",FALSE,"en",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q5","Nuhlen","die","nuhl","rhymes","nuhlen","en",FALSE,"en",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q6","Pinder","das","pind","rhymes","pinder","er",FALSE,"er",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q7","Pische","der","pisch","rhymes","pische","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q8","Punde","die","pund","rhymes","punde","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q9","Raunen","das","raun","rhymes","raunen","en",FALSE,"en",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q10","Spände","der","spand","rhymes","spände","umlaut_e",TRUE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q12","Vage","die","vag","rhymes","vage","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q13","Sperter","das","spert","rhymes","sperter","er",FALSE,"er",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q14","Bnaupfen","der","bnaupf","","bnaupfen","en",FALSE,"en",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q15","Bneike","die","bneik","","bneike","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q16","Bnöhke","das","bnöhk","","bnöhke","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q17","Fnahfe","der","fnahf","","fnahfe","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q18","Fneike","die","fneik","","fneike","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q19","Fnöhke","das","fnöhk","","fnöhke","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q20","Pläker","der","pläk","","pläker","er",FALSE,"er",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q21","Plaupfe","die","plaupf","","plaupfe","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q22","Pleike","das","pleik","","pleike","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q23","Pnähfer","der","pnähf","","pnähfer","er",FALSE,"er",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q24","Prönge","die","pröng","","prönge","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","production",1,"Q28","Snäuke","das","snauk","","snäuke","umlaut_e",TRUE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_1","1","das","klot","rhymes","klot","zero",FALSE,"zero",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_2","2","das","klot","rhymes","klöt","umlaut_zero",TRUE,"zero",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_3","4","das","klot","rhymes","klote","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_4","5","das","klot","rhymes","klöte","umlaut_e",TRUE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_5","3","das","klot","rhymes","kloten","en",FALSE,"en",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_6","2","das","klot","rhymes","kloter","er",FALSE,"er",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_7","4","das","klot","rhymes","klöter","umlaut_er",TRUE,"er",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_8","4","das","klot","rhymes","klots","s",FALSE,"s",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_9","4","das","klot","rhymes","klöten","other",FALSE,"other","speakers > 3"
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_10","2","das","klot","rhymes","klotten","other",FALSE,"other","speakers > 3"
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q31_11","3","das","klot","rhymes","klötte","other",FALSE,"other","speakers > 3"
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q32_1","1","der","mur","rhymes","mur","zero",FALSE,"zero",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q32_2","1","der","mur","rhymes","mür","umlaut_zero",TRUE,"zero",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","check",1,"Q32_3","1","der","mur","rhymes","gut","other",FALSE,"other",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q32_4","4","der","mur","rhymes","mure","e",FALSE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q32_5","4","der","mur","rhymes","müre","umlaut_e",TRUE,"e",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q32_6","5","der","mur","rhymes","muren","en",FALSE,"en",NA
"2020-04-07 05:13:15","2020-04-07 05:27:10",834,"R_2bQuSqzVqzHAJ1S",1,2,6,3,"Deutsch","Spanisch: B2, Französisch: B1","9050, Appenzell, CH","Messer","Teile","Fächer","Kinder","Floße","Klöster","Betten","rating",1,"Q32_7","2","der","mur","rhymes","murer","er",FALSE,"er",NA
