"Q_Lemma","Q_Task","Q_PL_Form","StartDate","EndDate","Duration (in seconds)","S_Participant_ID","S_Consent","S_Age","S_EN_Level","S_EN_Exposure","S_L1","S_L2s","S_Regional_Background","OB_Messe","OB_Teil","OB_Fach","OB_Kind","OB_Floß","OB_Klöster","OB_Bett","Q_List","Q_ID","Q_Response","Q_Gender","Q_Lemma_HasRhymes","Q_PL_Label","Q_PL_HasUmlaut","Q_PL_Suffix"
"bral","production","brale","2020-07-01 09:46:18","2020-07-01 09:53:07",408,"R_3PM4ks6KrGCvOv5","Ja, ich nehme teil.","35-44","C2","Mehr als 10 Stunden pro Woche","deutsch","Französisch B1","53859, Niederkassel, DE ","Messer","Teile","Fächer","Kinder","Flösse","Klöster","Betten",1,"Q1","Brale","der","rhymes","e",FALSE,"e"
"bral","production","brälle","2020-07-01 09:49:32","2020-07-01 09:57:21",468,"R_2tM4UxYyqxb0XXH","Ja, ich nehme teil.","18-24","C1","Mehr als 10 Stunden pro Woche","Deutsch, Portugiesisch","Portugiesisch (Muttersprache) Französisch (A2)","1000, Lissabon, PT","Messer","Teile","Fächer","Kinder","Flösse","Klöster","Betten",1,"Q1","Brälle","der","rhymes","other",FALSE,"other"
"bral","production","bralen","2020-07-01 09:59:09","2020-07-01 10:07:01",471,"R_1CBKgs4MfZK1Pye","Ja, ich nehme teil.","35-44","Englisch ist eine Muttersprache von mir","Mehr als 10 Stunden pro Woche","Deutsch English","","02785","Messer","Teile","Fächer","Kinder","Flösse","Kloster","Betten",1,"Q1","Bralen","der","rhymes","en",FALSE,"en"
"bral","production","brale","2020-07-12 06:15:06","2020-07-12 06:19:38",272,"R_3p4jx7u9GRg1dyZ","Ja, ich nehme teil.","18-24","C1","Mehr als 10 Stunden pro Woche","Deutsch","","16761, Hennigsdorf, DE","Messer","Teile","Fächer","Kinder","Flöße","Kloster","Betten",1,"Q1","Brale","der","rhymes","e",FALSE,"e"
"bral","production","brale","2020-07-12 06:21:31","2020-07-12 06:25:54",263,"R_3gOyhtrRmVBghig","Ja, ich nehme teil.","18-24","C1","Mehr als 10 Stunden pro Woche","Deutsch","","55543, Bad Kreuznach, DE","Messer","Teile","Fächer","Kinder","Flöße","Klöster","Betten",1,"Q1","Brale","der","rhymes","e",FALSE,"e"
"bral","production","brale","2020-07-12 06:18:20","2020-07-12 06:26:16",475,"R_3IDOdU0NRaTuCk1","Ja, ich nehme teil.","55-64","C2","5-10 Stunden pro Woche","Deutsch","Französisch (B1), Spanisch, Italienisch (A2)","38000, Braunschweig, DE","Messer","Teile","Fächer","Kinder","Flöße","Klöster","Betten",1,"Q1","Brale","der","rhymes","e",FALSE,"e"
"bral","production","brale","2020-07-12 06:21:39","2020-07-12 06:27:11",331,"R_Q0JL4J2VczphiJr","Ja, ich nehme teil.","25-34","C2","5-10 Stunden pro Woche","Deutsch","Mandarin B2","5116, Schinznach Bad, CH","Messer","Teile","Fächer","Kinder","Flosse","Klöster","Betten",1,"Q1","Brale","der","rhymes","e",FALSE,"e"
"bral","production","bralen","2020-07-12 06:21:35","2020-07-12 06:28:48",432,"R_2DOhiPf9EtW2Y2x","Ja, ich nehme teil.","25-34","C2","Mehr als 10 Stunden pro Woche","Deutsch","","37431, Bad Lauterberg, DE","Messer","Teile","Fächer","Kinder","Fllöße","Klöster","Betten",1,"Q1","Bralen","der","rhymes","en",FALSE,"en"
"bral","production","brals","2020-07-12 06:23:12","2020-07-12 06:28:55",343,"R_2z8fgfdAkq0YY64","Ja, ich nehme teil.","25-34","C1","5-10 Stunden pro Woche","Deutsch","","91058","Messer","Teile","Fächer","Kinder","Flöße","Kloster","Betten",1,"Q1","Brals","der","rhymes","s",FALSE,"s"
"bral","production","brals","2020-07-12 06:22:43","2020-07-12 06:31:06",503,"R_SUEY06t56XDFqhz","Ja, ich nehme teil.","55-64","C2","Mehr als 10 Stunden pro Woche","deutsch","englisch, lebe seit 22 jahren in den usa, so bermutlich C2","70199 Stuttgart, germany","messe","teile","fächer","kinder","flösse","klöster","betten",1,"Q1","brals","der","rhymes","s",FALSE,"s"
